Station 	Elevation
1175.14	366.58
1178.13	366.57
1181.13	366.33
1184.13	366.32
1187.13	366.26
1190.12	366.07
1193.12	366
1196.12	366.02
1199.12	365.91
1202.12	365.88
1205.11	365.97
1208.11	365.99
1211.11	365.82
1214.11	365.48
1217.1	365.76
1220.1	365.77
1223.1	365.62
1226.1	365.58
1229.1	365.56
1232.09	365.63
1235.09	365.68
1238.09	365.8
1241.09	365.79
1244.08	365.56
1247.08	365.72
1250.08	365.78
1253.08	365.69
1256.08	365.61
1259.07	365.69
1262.07	365.72
1265.07	365.94
1268.07	366.01
1271.06	366.08
1274.06	366.11
1277.06	366.03
1280.06	365.97
1283.06	366.03
1286.05	366.23
1289.05	366.34
1292.05	366.33
1295.05	366.31
1298.04	366.35
1301.04	366.23
1304.04	366.07
1307.04	366.04
1310.04	366.08
1313.03	366.19
1316.03	366.3
1319.03	366.38
1322.03	366.43
1325.02	366.42
1328.02	366.36
1331.02	366.27
1334.02	366.25
1337.02	366.3
1340.01	366.33
1343.01	366.35
1346.01	366.41
1349.01	366.39
1352	366.28
1355	366.19
1358	366.48
1361	366.53
1363.99	366.64
1366.99	366.54
1369.99	366.44
1372.99	366.43
1375.99	366.46
1378.98	366.22
1381.98	366.28
1384.98	366.42
1387.98	366.45
1390.98	366.53
1393.97	366.69
1396.97	366.8
1399.97	366.8
1402.97	366.66
1405.96	366.71
1408.96	366.73
1411.96	366.75
1414.96	366.78
1417.95	366.72
1420.95	366.68
1423.95	366.73
1426.95	366.5
1429.95	366.25
1432.94	366.05
1435.94	365.87
1438.94	365.71
1441.94	365.55
1444.93	365.36
1447.93	365.2
1450.93	365.07
1453.93	364.86
1456.93	364.75
1459.92	364.78
1462.92	364.59
1465.92	364.21
1468.92	364.1
1471.91	364.37
1474.91	364.85
1477.91	364.92
1480.91	364.87
1483.91	364.95
1486.9	365.1
1489.9	365.36
1492.9	365.4
1495.9	365.58
1498.89	365.83
1501.89	366.09
1504.89	366.08
1507.89	366.09
1510.89	366.01
1513.88	365.79
1516.88	365.94
1519.88	365.83
1522.88	365.69
1525.87	365.65
1528.87	365.59
1531.87	365.5
1534.87	365.51
1537.87	365.59
1540.86	365.59
1543.86	365.51
1546.86	365.57
1549.86	365.6
1552.85	365.46
1555.85	365.22
1558.85	365.12
1561.85	365.19
1564.85	365.3
1567.84	365.27
1570.84	365.28
1573.84	365.38
1576.84	365.37
1579.83	365.25
1582.83	365.22
1585.83	365.27
1588.83	365.33
1591.83	365.29
1594.82	365.15
1597.82	365.04
1600.82	364.93
1603.82	364.93
1606.81	364.86
1609.81	364.75
1612.81	364.64
1615.81	364.59
1618.81	364.62
1621.8	364.58
1624.8	364.75
1627.8	364.92
1630.8	364.83
1633.79	364.75
1636.79	364.63
1639.79	364.54
1642.79	364.46
1645.79	364.49
1648.78	364.5
1651.78	364.36
1654.78	364.57
1657.78	364.55
1660.77	364.44
1663.77	364.37
1666.77	364.35
1669.77	364.45
1672.77	364.24
1675.76	364.07
1678.76	363.98
1681.76	364.02
1684.76	364.07
1687.75	363.95
1690.75	363.8
1693.75	363.92
1696.75	364.06
1699.75	364.05
1702.74	364.18
1705.74	364.52
1708.74	364.4
1711.74	364.14
1714.73	363.99
1717.73	363.97
1720.73	363.99
1723.73	364.11
1726.73	364.31
1729.72	364.51
1732.72	364.65
1735.72	364.86
1738.72	365.01
1741.71	365.07
1744.71	365.22
1747.71	365.49
1750.71	365.71
1753.71	365.7
1756.7	365.64
1759.7	365.68
1762.7	365.84
1765.7	366.12
1768.69	366.21
1771.69	365.6
1774.69	364.65
1777.69	362.2
1780.69	359.48
1783.68	357.46
1786.68	356.71
1789.68	355.73
1792.68	354.71
1795.67	353.96
1798.67	353.46
1801.67	353.13
1804.67	353.12
1807.67	352.63
1810.66	351.84
1813.66	350.91
1816.66	350.06
1819.66	349.73
1822.65	349.74
1825.65	349.72
1828.65	349.61
1831.65	349.38
1834.65	349.04
1837.64	349.34
1840.64	350.17
1843.64	351.44
1846.64	352.8
1849.63	353.65
1852.63	353.63
1855.63	353.45
1858.63	353.55
1861.62	353.5
1864.62	353.53
1867.62	353.77
1870.62	353.74
1873.62	353.62
1876.61	353.75
1879.61	353.94
1882.61	353.9
1885.61	353.73
1888.6	353.66
1891.6	353.7
1894.6	353.57
1897.6	353.39
1900.6	353.51
1903.59	353.8
1906.59	354.03
1909.59	354.11
1912.59	353.98
1915.58	353.88
1918.58	354.09
1921.58	354.54
1924.58	354.71
1927.58	354.75
1930.57	354.64
1933.57	354.28
1936.57	354.3
1939.57	354.83
1942.56	355.2
1945.56	354.82
1948.56	354.25
1951.56	354.26
1954.56	354.47
1957.55	354.33
1960.55	353.96
1963.55	354.04
1966.55	354.09
1969.54	353.99
1972.54	353.76
1975.54	353.96
1978.54	354.17
1981.54	354.08
1984.53	353.99
1987.53	354.07
1990.53	354.28
1993.53	354.44
1996.52	354.44
1999.52	354.5
2002.52	354.61
2005.52	354.75
2008.52	354.93
2011.51	355.05
2014.51	355.01
2017.51	355.05
2020.51	355.17
2023.5	355.2
2026.5	355.37
2029.5	355.4
2032.5	355.3
2035.5	355.44
2038.49	355.68
2041.49	355.79
2044.49	355.71
2047.49	355.69
2050.48	355.76
2053.48	355.79
2056.48	355.65
2059.48	355.57
2062.48	355.61
2065.47	355.64
2068.47	355.48
2071.47	355.56
2074.47	355.73
2077.47	355.93
2080.46	356.04
2083.46	356
2086.46	356.06
2089.46	356.08
2092.45	355.96
2095.45	355.58
2098.45	355.59
2101.45	355.75
2104.45	355.63
2107.44	355.93
2110.44	356.12
2113.44	355.76
2116.44	355.61
2119.43	355.45
2122.43	355.42
2125.43	355.58
2128.43	355.71
2131.43	355.74
2134.42	355.72
2137.42	355.72
2140.42	355.64
2143.42	355.39
2146.42	355.31
2149.41	355.51
2152.41	355.96
2155.41	356.16
2158.41	356.16
2161.4	356.15
2164.4	356.08
2167.4	355.98
2170.4	356.14
2173.4	356.38
2176.39	356.33
2179.39	356
2182.39	356.03
2185.39	356.31
2188.39	356.37
2191.38	356.46
2194.38	356.49
2197.38	356.56
2200.38	356.39
2203.37	356.05
2206.37	356.16
2209.37	356.13
2212.37	355.96
2215.37	355.99
2218.36	356.26
2221.36	356.48
2224.36	356.56
2227.36	356.31
2230.35	356.42
2233.35	356.54
2236.35	356.47
2239.35	356.55
2242.35	356.38
2245.34	356.59
2248.34	356.5
2251.34	356.14
2254.34	356.16
2257.34	356.22
2260.33	356.43
2263.33	356.52
2266.33	356.51
2269.33	356.37
2272.32	356.43
2275.32	356.51
2278.32	356.39
2281.32	356.41
2284.32	356.55
2287.31	356.6
2290.31	356.93
2293.31	357.24
2296.31	357
2299.31	356.57
2302.3	356.29
2305.3	356.08
2308.3	356
2311.3	355.96
2314.29	355.91
2317.29	355.86
2320.29	355.9
2323.29	355.92
2326.29	355.85
2329.28	355.76
2332.28	355.64
2335.28	355.54
2338.28	355.49
